class_id,day,slot,subject_id,room_id,teacher_id
5A,monday,1,math,201,t_math_1
5A,monday,2,russian,203,t_rus_1
5A,monday,3,foreign,204,t_for_1
5A,monday,4,pe,gym,t_pe_1
5A,monday,5,math,201,t_math_1

5A,tuesday,1,russian,203,t_rus_1
5A,tuesday,2,literature,203,t_rus_1
5A,tuesday,3,math,201,t_math_1
5A,tuesday,4,biology,205,t_bio_1
5A,tuesday,5,pe,gym,t_pe_1

5A,wednesday,1,math,201,t_math_1
5A,wednesday,2,russian,203,t_rus_1
5A,wednesday,3,history,206,t_hist_1
5A,wednesday,4,foreign,204,t_for_1
5A,wednesday,5,biology,205,t_bio_1

5A,thursday,1,math,201,t_math_1
5A,thursday,2,russian,203,t_rus_1
5A,thursday,3,foreign,204,t_for_1
5A,thursday,4,pe,gym,t_pe_1
5A,thursday,5,history,206,t_hist_1

5A,friday,1,math,201,t_math_1
5A,friday,2,literature,203,t_rus_1
5A,friday,3,biology,205,t_bio_1
5A,friday,4,history,206,t_hist_1
5A,friday,5,pe,gym,t_pe_1

